title,company,location,experience,min_experience,max_experience,salary,min_salary,max_salary,description,skills,posted_duration,job_url,search_keyword
Data Analyst,Iris Worldwide,Mumbai,2-4 Yrs,2.0,4.0,Not Specified,,,Analyze complex data sets to identify trends and patterns. Develop and maintain dat...,"['Database Maintenance', 'Python', 'Macros', 'Data Analytics', 'Predictive Analytics', 'Power BI', 'Dashboards']",6 days ago,https://www.naukri.com/job-listings-data-analyst-iris-business-services-mumbai-2-to-4-years-080726501850,data analyst
Data Analyst,Triveni Interchem,Vapi,0-2 Yrs,0.0,2.0,2.25-3.25 Lacs PA,225000.0,325000.0,"Proficient in Microsoft Excel, Google Sheets, Power BI, Tableau. Skilled in creating da...","['Power BI', 'Data Visualization', 'Excel Sheet', 'Data Analytics', 'SQL', 'Pivot Table', 'Tableau']",1 week ago,https://www.naukri.com/job-listings-data-analyst-triveni-interchem-pvt-ltd-vapi-0-to-2-years-070726008729,data analyst
Data Analyst,Statusneo Technology Consulting,Hybrid - Bengaluru(Whitefield),5-10 Yrs,5.0,10.0,14-22.5 Lacs PA,1400000.0,2250000.0,Work with Python / Django-based Frameworks [DI1] where requiredMake lightweight UI or w...,"['Dashboards', 'Reporting', 'Analytics', 'SQL', 'Python', 'Data Analytics', 'Data']",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-statusneo-technology-consulting-bengaluru-5-to-10-years-300626035290,data analyst
Data Analyst,Krazy Bee Services,Bengaluru,2-3 Yrs,2.0,3.0,Not Specified,,,3 years of analytics experience preferably in fintechs is a plusYour information will o...,"['Excel', 'Python', 'SQL', 'Data Analytics', 'Data Visualization', 'Analytics', 'Analysis']",1 week ago,https://www.naukri.com/job-listings-data-analyst-krazy-bee-services-bengaluru-2-to-3-years-010726015175,data analyst
Data Analyst,Apptad,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",0-3 Yrs,0.0,3.0,Not Specified,,,Required Skills . Strong knowledge of Financial Analysis and MIS Reporting. . Advanced ...,"['Tally', 'Erp', 'Financial Statements', 'Financial Analysis', 'Financial Planning', 'Business Planning', 'Cash Flow', 'Budgeting']",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-apptad-inc-prayagraj-varanasi-ghaziabad-kanpur-lucknow-agra-0-to-3-years-300626503273,data analyst
Walk-in || Data Analyst,Everest Fleet,Not Specified,Not Specified,,,3-4.5 Lacs PA,300000.0,450000.0,"Bachelors degree in Statistics, Mathematics, Computer Science, Engineering, Economics, ...","['Power BI', 'Data Visualization', 'Data Analytics', 'SQL', 'Bi Tools', 'Tableau']",5 days ago,https://www.naukri.com/job-listings-data-analyst-everest-fleet-kolkata-3-to-5-years-270626006517,data analyst
Data Services - File Analyst,WTW Global Delivery And Solutions,Kolkata,0-6 Yrs,0.0,6.0,Not Specified,,,"About WTW: WTW is a leading global advisory, broking and solutions company that help...","['Data Services', 'Sap Bi', 'Data Analytics', 'Data Management', 'Data Warehousing', 'Sap Bods', 'Power BI', 'Data Migration']",1 day ago,https://www.naukri.com/job-listings-data-services-file-analyst-wtw-global-delivery-and-solutions-india-pvt-ltd-kolkata-0-to-6-years-140726501457,data analyst
Data Analyst (OAC),Sopra Steria,Noida,4-6 Yrs,4.0,6.0,Not Specified,,,Proficient in Oracle Analytics Cloud (OAC) and other Data Visualization Tools like Powe...,"['Sql Queries', 'Data Modeling', 'Debugging', 'Architectural Design', 'Power BI', 'Data Analyst', 'Data Visualization', 'Oracle']",1 day ago,https://www.naukri.com/job-listings-data-analyst-oac-sopra-steria-noida-4-to-6-years-130726500510,data analyst
Data Analyst,Sopra Steria,Noida,4-6 Yrs,4.0,6.0,Not Specified,,,Skills : . 4-6 years of professional relevant experience in ODI development. . Strong e...,"['Business Analyst', 'Technical Design', 'Reconciliation', 'Oracle Data Integrator', 'Plsql', 'Oracle Fusion', 'Performance Optimization', 'Data Quality']",1 day ago,https://www.naukri.com/job-listings-data-analyst-sopra-steria-noida-4-to-6-years-130726500477,data analyst
FIU Data Analyst - Bengalaru,Moonpay,Bengaluru,2-7 Yrs,2.0,7.0,Not Specified,,,"Team player with good communication skills, with the ability to explain technical conce...","['Computer Science', 'Data Analytics', 'Kaizen', 'Compliance', 'Finance', 'Anti Money Laundering', 'Equity', 'Healthcare']",1 day ago,https://www.naukri.com/job-listings-fiu-data-analyst-bengalaru-moonpay-bengaluru-2-to-7-years-130726503168,data analyst
Data Analyst,LKQ India,Bengaluru,3-8 Yrs,3.0,8.0,8-14 Lacs PA,800000.0,1400000.0,Provide insights and recommendations to stakeholders through clear and concise presenta...,"['Pricing Analysis', 'Pricing', 'Pricing Analytics', 'Excel', 'Python', 'SQL', 'Data Analytics']",1 day ago,https://www.naukri.com/job-listings-data-analyst-lkq-india-bengaluru-3-to-8-years-140726030508,data analyst
Data Analyst,Codinglimits Nellore,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,0.0,1.0,Not Specified,,,Data Analyst Fresher Location: Bengaluru | Chennai | Hyderabad Employment Type: Full-T...,"['Power BI', 'SQL', 'Python', 'Data Visualization', 'Tableau', 'Data Analytics', 'Analytics']",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-150626016881,data analyst
Data Analyst,Jewelex India,Mumbai (All Areas),1-3 Yrs,1.0,3.0,3-4 Lacs PA,300000.0,400000.0,"Required Skills: . Advanced MS Excel (Pivot Tables, VLOOKUP / XLOOKUP, formulas, dashbo...","['Data Analytics', 'Pivot Table', 'Power BI', 'Vlookup', 'Excel', 'Hlookup', 'SQL', 'Python']",1 week ago,https://www.naukri.com/job-listings-data-analyst-jewelex-india-mumbai-all-areas-1-to-3-years-040726010238,data analyst
Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,0.0,2.0,3-4 Lacs PA,300000.0,400000.0,"Requirements: . - Bachelors degree in Data Analytics, Statistics, or related field. - P...","['Power BI', 'Tableau', 'Data Analytics', 'SQL', 'Python', 'Excel', 'Statistics', 'Data']",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010580,data analyst
Data Analyst,GS1 India,Chennai,8-13 Yrs,8.0,13.0,9-15 Lacs PA,900000.0,1500000.0,"Automated tools, extract data, databases, data systems - in a readable format, Quality ...","['Power BI', 'Microsoft Power Bi', 'Data Management', 'Azure Data Factory', 'Python', 'Bi Tools', 'Azure Data Warehouse', 'Azure Databricks']",1 day ago,https://www.naukri.com/job-listings-data-analyst-gs1-india-chennai-8-to-13-years-180424012520,data analyst
Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-3 Yrs,0.0,3.0,3-5 Lacs PA,300000.0,500000.0,"Experience working in Agile / Scrum environments. Experience with cloud platforms (AWS,...","['Data Management', 'Data Visualization', 'Tableau', 'Data Analytics', 'Data Reporting', 'Power BI', 'Data Cleansing']",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-3-years-131025013763,data analyst
